date,patch,prestige,keg_type,event,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2019-07-13 20:56:51,3.0.1.92,1,base set,,Epidemic,Dol Blathanna Sentry,Ice Giant,Drowner,Rivian Pikeman,Biting Frost,Dimun Corsair
2019-07-13 20:56:06,3.0.1.92,1,novigrad,,Kikimore Warrior,Townsfolk,Line of Credit,Eavesdrop,Tidecloak Hideaway,Eventide Plunder,Fisstech Trafficker
2019-07-13 20:55:16,3.0.1.92,1,novigrad,,Arena Ghoul,Sea Jackal,Eavesdrop,Slander,Witch Hunter Executioner,Tax Collector,Halfling Safecracker
2019-07-13 20:31:04,3.0.1.92,1,novigrad,,Arena Ghoul*,Cutup Lackey,Wretched Addict,Back-Alley Chemist,Eventide Plunder,Eternal Fire Disciple,Kikimore Warrior
2019-07-13 20:30:05,3.0.1.92,1,novigrad,,Sly Seductress,Bare-Knuckle Brawler,Dip in the Pontar,Temple Guard,Witch Hunter,Cleaver's Muscle,Fisstech Trafficker
2019-07-13 20:28:47,3.0.1.92,1,novigrad,,Townsfolk,Fisstech,Tidecloak Hideaway,Dip in the Pontar,Adalbertus Kalkstein,Pugo Boom-Breaker,Sir Skewertooth
2019-07-13 20:27:54,3.0.1.92,1,novigrad,,Fence,Line of Credit,Dip in the Pontar,Eternal Fire Priest,Keeper of the Flame*,Halfling Safecracker,Blindeye Apothecary
2019-07-13 20:26:59,3.0.1.92,1,novigrad,,Tax Collector,Coerced Blacksmith,Wretched Addict,Congregation,Witch Hunter*,Sewer Raiders,Eternal Fire Priest
2019-07-13 20:24:55,3.0.1.92,1,crimson curse,,Vildkaarl,Disgraced Brawler,Fleder,Garkain,Brokilon Sentinel*,Cintrian Knight,Thaw
2019-07-13 20:24:08,3.0.1.92,1,crimson curse,,Alp,Dryad Grovekeeper,Dryad Ranger,Pellar,Svalblod Totem,Syanna,Crimson Curse
2019-07-13 20:23:15,3.0.1.92,1,crimson curse,,Cintrian Royal Guard,Feast of Blood,Fangs of the Empire,Vildkaarl,Forest Whisperer,Bruxa,Oxenfurt Scholar
